feature,importance
SHOULDER-ANGLE-OUT,100760.03165555
DIAMETER,69286.2325553298
SHOULDER-ANGLE-IN,62729.042670726776
HEIGHT,40215.38566040993
CROWN-W,18743.791467905045
CROWN-D-H,18411.37076485157
FOOT-IN,10333.018360733986
PUSHER-D-H,9655.332601189613
SHOUDER-T,7616.72048330307
TOP-T,7310.6366493701935
TOP-DROP,5872.677276492119
TIP-D,3346.7259781956673
FOOT-OUT,3173.48654961586
STROKE-OUT,2843.8459426164627
PUSHER-D-L,2831.399326324463
FOOT-MID,2802.8815059661865
CROWN-D-L,2734.620686650276
STROKE-CENTER,2660.04927110672
TIP-DROP,2597.311900615692
FOOT-W,2302.5019597411156
