feature,importance
ANGLE_SUM,126860.35969488136
ANGLE_IN_x_DIAMETER,45761.765169825405
SHOULDER-ANGLE-OUT,40440.06277555227
DIAMETER,38654.70789091289
HEIGHT,31283.86607349664
TOTAL_DEV,23769.62584742345
CROWN-W,23313.111284151673
CROWN-D-H,21836.749545627274
ASPECT_RATIO,20363.06218396919
SHOULDER-ANGLE-OUT_DEV,13907.038456851617
PUSHER-D-H,12446.359834775329
FOOT-IN,11567.256446434185
TOP-T,9021.230935463216
DIAMETER_DEV,7683.664599532211
SHOUDER-T,7306.182146186009
SHOULDER-ANGLE-IN,7289.953390868381
HEIGHT_DEV,6139.40529721044
TOP-DROP,5920.5732440166175
FOOT_SPREAD,3896.8132063663725
SHOULDER-ANGLE-IN_DEV,3710.249187014997
ANGLE_OUT_x_DIAMETER,3331.3827430950478
TIP-D,3106.850672086701
PUSHER-D-L,2780.8928237073123
ANGLE_RATIO,2713.586849577725
TIP-DROP,2710.0510463318788
FOOT-OUT,2681.340340444818
CROWN-D-L,2666.007796245627
FOOT-MID,2651.3854829022894
STROKE_RATIO,2579.481335118413
STROKE-CENTER,2498.4332721978426
STROKE-OUT,2487.6022169073112
ANGLE_DIFF,2435.13324418664
FOOT-W,2390.8131142589264
CROWN_RATIO,2304.776445257012
